lat,lon,ts_utc,speed_mps
12.971000,77.594000,2026-01-01T09:00:00Z,1.20
12.971120,77.594130,2026-01-01T09:00:30Z,1.15
12.971260,77.594280,2026-01-01T09:01:00Z,1.18
12.971430,77.594450,2026-01-01T09:01:30Z,1.10
12.971650,77.594670,2026-01-01T09:02:00Z,1.05
12.971880,77.594880,2026-01-01T09:02:30Z,1.00
12.972000,77.595000,2026-01-01T09:03:00Z,0.10
12.972020,77.595010,2026-01-01T09:05:00Z,0.00
12.972010,77.595030,2026-01-01T09:07:00Z,0.00
12.972030,77.595020,2026-01-01T09:09:00Z,0.00
12.972000,77.595000,2026-01-01T09:11:00Z,0.05
12.971760,77.594790,2026-01-01T09:11:30Z,1.08
12.971520,77.594560,2026-01-01T09:12:00Z,1.12
12.971290,77.594310,2026-01-01T09:12:30Z,1.18
12.971100,77.594100,2026-01-01T09:13:00Z,1.12
12.971000,77.594000,2026-01-01T09:13:30Z,0.85
